week,group,deaths
2020-03-02,18-39,1
2020-03-02,40-59,1
2020-03-02,60-74,1
2020-03-02,75+,4
2020-03-09,18-39,1
2020-03-09,40-59,6
2020-03-09,60-74,14
2020-03-09,75+,20
2020-03-16,18-39,1
2020-03-16,40-59,22
2020-03-16,60-74,60
2020-03-16,75+,100
2020-03-23,18-39,9
2020-03-23,40-59,48
2020-03-23,60-74,116
2020-03-23,75+,221
2020-03-30,18-39,9
2020-03-30,40-59,79
2020-03-30,60-74,175
2020-03-30,75+,272
2020-04-06,18-39,18
2020-04-06,40-59,110
2020-04-06,60-74,154
2020-04-06,75+,332
2020-04-13,18-39,9
2020-04-13,40-59,83
2020-04-13,60-74,129
2020-04-13,75+,333
2020-04-20,18-39,19
2020-04-20,40-59,70
2020-04-20,60-74,95
2020-04-20,75+,318
2020-04-27,18-39,19
2020-04-27,40-59,70
2020-04-27,60-74,91
2020-04-27,75+,299
2020-05-04,18-39,14
2020-05-04,40-59,54
2020-05-04,60-74,77
2020-05-04,75+,302
2020-05-11,18-39,13
2020-05-11,40-59,55
2020-05-11,60-74,91
2020-05-11,75+,262
2020-05-18,18-39,9
2020-05-18,40-59,48
2020-05-18,60-74,78
2020-05-18,75+,254
2020-05-25,18-39,13
2020-05-25,40-59,51
2020-05-25,60-74,64
2020-05-25,75+,210
2020-06-01,18-39,9
2020-06-01,40-59,52
2020-06-01,60-74,64
2020-06-01,75+,224
2020-06-08,18-39,5
2020-06-08,40-59,46
2020-06-08,60-74,53
2020-06-08,75+,183
2020-06-15,18-39,10
2020-06-15,40-59,39
2020-06-15,60-74,46
2020-06-15,75+,186
2020-06-22,18-39,5
2020-06-22,40-59,31
2020-06-22,60-74,56
2020-06-22,75+,175
2020-06-29,18-39,4
2020-06-29,40-59,37
2020-06-29,60-74,60
2020-06-29,75+,187
2020-07-06,18-39,5
2020-07-06,40-59,32
2020-07-06,60-74,59
2020-07-06,75+,165
2020-07-13,18-39,7
2020-07-13,40-59,46
2020-07-13,60-74,86
2020-07-13,75+,181
2020-07-20,18-39,9
2020-07-20,40-59,52
2020-07-20,60-74,126
2020-07-20,75+,232
2020-07-27,18-39,11
2020-07-27,40-59,44
2020-07-27,60-74,138
2020-07-27,75+,269
