week,group,deaths
2020-03-02,female,4
2020-03-02,male,2
2020-03-09,female,9
2020-03-09,male,13
2020-03-16,female,27
2020-03-16,male,41
2020-03-23,female,67
2020-03-23,male,97
2020-03-30,female,90
2020-03-30,male,109
2020-04-06,female,93
2020-04-06,male,107
2020-04-13,female,74
2020-04-13,male,89
2020-04-20,female,61
2020-04-20,male,82
2020-04-27,female,55
2020-04-27,male,54
2020-05-04,female,39
2020-05-04,male,66
2020-05-11,female,46
2020-05-11,male,46
2020-05-18,female,33
2020-05-18,male,52
2020-05-25,female,28
2020-05-25,male,32
2020-06-01,female,17
2020-06-01,male,28
2020-06-08,female,21
2020-06-08,male,14
2020-06-15,female,13
2020-06-15,male,21
2020-06-22,female,15
2020-06-22,male,21
2020-06-29,female,11
2020-06-29,male,15
2020-07-06,female,14
2020-07-06,male,22
2020-07-13,female,11
2020-07-13,male,14
2020-07-20,female,13
2020-07-20,male,27
2020-07-27,female,18
2020-07-27,male,20
