date,group,deaths
2020-09-18,40-59,7.0
2020-09-18,60-74,29.0
2020-09-18,75+,100.0
2020-09-25,0-17,0.0
2020-09-25,18-39,1.0
2020-09-25,40-59,17.0
2020-09-25,60-74,44.0
2020-09-25,75+,153.0
2020-10-02,0-17,0.0
2020-10-02,18-39,1.0
2020-10-02,40-59,18.0
2020-10-02,60-74,72.0
2020-10-02,75+,230.0
2020-10-09,0-17,0.0
2020-10-09,18-39,3.0
2020-10-09,40-59,25.0
2020-10-09,60-74,100.0
2020-10-09,75+,310.0
2020-10-16,0-17,0.0
2020-10-16,18-39,4.0
2020-10-16,40-59,29.0
2020-10-16,60-74,137.0
2020-10-16,75+,500.0
2020-10-23,0-17,0.0
2020-10-23,18-39,6.0
2020-10-23,40-59,49.0
2020-10-23,60-74,213.0
2020-10-23,75+,710.0
2020-10-30,0-17,0.0
2020-10-30,18-39,6.0
2020-10-30,40-59,67.0
2020-10-30,60-74,283.0
2020-10-30,75+,1023.0
2020-11-06,0-17,0.0
2020-11-06,18-39,5.0
2020-11-06,40-59,101.0
2020-11-06,60-74,382.0
2020-11-06,75+,1449.0
2020-11-13,0-17,0.0
2020-11-13,18-39,9.0
2020-11-13,40-59,122.0
2020-11-13,60-74,518.0
2020-11-13,75+,1817.0
2020-11-20,0-17,0.0
2020-11-20,18-39,12.0
2020-11-20,40-59,120.0
2020-11-20,60-74,533.0
2020-11-20,75+,2032.0
2020-11-27,0-17,1.0
2020-11-27,18-39,16.0
2020-11-27,40-59,143.0
2020-11-27,60-74,567.0
2020-11-27,75+,2313.0
2020-12-04,0-17,0.0
2020-12-04,18-39,16.0
2020-12-04,40-59,136.0
2020-12-04,60-74,563.0
2020-12-04,75+,2120.0
2020-12-11,0-17,1.0
2020-12-11,18-39,12.0
2020-12-11,40-59,132.0
2020-12-11,60-74,538.0
2020-12-11,75+,2073.0
2020-12-18,0-17,0.0
2020-12-18,18-39,8.0
2020-12-18,40-59,153.0
2020-12-18,60-74,548.0
2020-12-18,75+,2277.0
2020-12-25,0-17,0.0
2020-12-25,18-39,9.0
2020-12-25,40-59,137.0
2020-12-25,60-74,542.0
2020-12-25,75+,2224.0
2021-01-01,0-17,0.0
2021-01-01,18-39,15.0
2021-01-01,40-59,162.0
2021-01-01,60-74,600.0
2021-01-01,75+,2367.0
