week,group,deaths
2020-03-02,40-59,2
2020-03-09,75+,2
2020-03-16,75+,3
2020-03-23,40-59,2
2020-03-23,60-74,3
2020-03-23,75+,4
2020-03-30,40-59,2
2020-03-30,60-74,1
2020-03-30,75+,4
2020-04-06,60-74,4
2020-04-13,18-39,1
2020-04-13,60-74,2
2020-04-13,75+,1
2020-04-20,18-39,1
2020-04-20,40-59,2
2020-04-20,60-74,1
2020-04-27,75+,1
2020-05-04,75+,1
2020-05-18,18-39,1
2020-05-25,40-59,1
2020-06-01,75+,1
2020-06-15,40-59,1
2020-06-29,18-39,1
2020-06-29,40-59,1
2020-07-06,75+,2
2020-07-27,18-39,1
2020-07-27,75+,1
