date,day,infections,hospital_admissions,icu_admissions,deaths
2020-02-01,0,0,0,0,0
2020-02-02,1,0,0,0,0
2020-02-03,2,0,0,0,0
2020-02-04,3,0,0,0,0
2020-02-05,4,0,0,0,0
2020-02-06,5,0,0,0,0
2020-02-07,6,0,0,0,0
2020-02-08,7,50,0,0,0
2020-02-09,8,52,0,0,0
2020-02-10,9,12,0,0,0
2020-02-11,10,17,0,0,0
2020-02-12,11,47,0,0,0
2020-02-13,12,149,0,0,0
2020-02-14,13,109,0,0,0
2020-02-15,14,102,0,0,0
2020-02-16,15,241,0,0,0
2020-02-17,16,292,0,0,0
2020-02-18,17,282,0,0,0
2020-02-19,18,367,0,0,0
2020-02-20,19,443,0,0,0
2020-02-21,20,532,0,0,0
2020-02-22,21,674,0,0,0
2020-02-23,22,791,0,0,0
2020-02-24,23,1023,0,0,0
2020-02-25,24,1247,0,0,0
2020-02-26,25,1538,1,0,0
2020-02-27,26,1533,2,0,0
2020-02-28,27,1871,1,0,0
2020-02-29,28,2630,6,0,0
2020-03-01,29,3224,8,1,0
2020-03-02,30,3848,6,0,0
2020-03-03,31,4450,6,1,0
2020-03-04,32,5408,12,0,0
2020-03-05,33,4981,14,2,2
2020-03-06,34,5981,13,1,1
2020-03-07,35,9169,19,2,1
2020-03-08,36,10133,35,1,3
2020-03-09,37,11243,33,4,2
2020-03-10,38,12801,37,3,4
2020-03-11,39,14657,42,4,0
2020-03-12,40,12275,81,8,7
2020-03-13,41,13835,89,10,11
2020-03-14,42,17926,102,10,6
2020-03-15,43,18715,116,10,11
2020-03-16,44,19093,133,13,14
2020-03-17,45,20744,162,21,15
2020-03-18,46,22883,171,19,28
2020-03-19,47,19381,236,26,18
2020-03-20,48,17101,245,31,30
2020-03-21,49,18485,289,39,40
2020-03-22,50,18422,335,46,38
2020-03-23,51,17428,344,41,36
2020-03-24,52,16936,352,46,50
2020-03-25,53,15931,345,34,49
2020-03-26,54,13953,377,53,57
2020-03-27,55,12786,432,50,69
2020-03-28,56,14146,427,50,61
2020-03-29,57,13449,455,53,72
2020-03-30,58,13165,437,59,70
2020-03-31,59,12987,399,59,81
2020-04-01,60,13025,448,67,63
2020-04-02,61,11513,409,52,77
2020-04-03,62,11620,419,59,80
2020-04-04,63,13765,380,44,79
2020-04-05,64,14007,390,47,85
2020-04-06,65,13958,411,38,73
2020-04-07,66,14209,373,53,91
2020-04-08,67,14631,353,42,99
2020-04-09,68,13556,320,38,84
2020-04-10,69,13532,344,39,76
2020-04-11,70,15366,330,50,88
2020-04-12,71,15422,341,39,103
2020-04-13,72,15467,315,35,71
2020-04-14,73,15280,309,43,89
2020-04-15,74,15157,299,30,72
2020-04-16,75,14199,267,23,69
2020-04-17,76,13706,290,23,85
2020-04-18,77,14999,322,33,72
2020-04-19,78,14364,307,33,96
2020-04-20,79,14152,302,37,81
2020-04-21,80,13679,319,50,77
2020-04-22,81,13232,283,27,60
2020-04-23,82,11511,301,25,82
2020-04-24,83,11065,296,28,73
2020-04-25,84,12003,297,30,69
2020-04-26,85,11213,291,21,60
2020-04-27,86,10711,283,24,61
2020-04-28,87,10552,280,30,69
2020-04-29,88,10148,307,41,65
2020-04-30,89,8614,298,37,74
2020-05-01,90,8201,260,24,64
2020-05-02,91,9399,281,25,81
2020-05-03,92,8791,263,22,65
2020-05-04,93,8254,268,32,69
2020-05-05,94,8081,280,35,52
2020-05-06,95,7672,249,31,59
2020-05-07,96,6342,251,25,66
2020-05-08,97,6006,253,25,67
2020-05-09,98,7211,265,30,77
2020-05-10,99,6975,260,27,57
2020-05-11,100,6899,233,27,61
2020-05-12,101,6509,196,22,67
2020-05-13,102,6584,242,22,64
2020-05-14,103,5175,215,17,56
2020-05-15,104,4814,213,22,59
2020-05-16,105,6282,230,25,54
2020-05-17,106,6084,222,24,60
2020-05-18,107,5915,234,26,48
2020-05-19,108,5730,201,26,51
2020-05-20,109,5863,207,16,51
2020-05-21,110,4621,214,19,53
2020-05-22,111,4394,227,20,67
2020-05-23,112,5795,220,24,59
2020-05-24,113,5494,197,19,60
2020-05-25,114,5397,192,21,53
2020-05-26,115,5183,187,16,52
2020-05-27,116,5256,178,17,39
2020-05-28,117,3989,197,22,46
2020-05-29,118,3946,192,28,46
2020-05-30,119,5262,158,13,55
2020-05-31,120,5177,205,20,47
2020-06-01,121,5395,210,20,65
2020-06-02,122,5288,160,17,44
2020-06-03,123,5304,160,9,58
2020-06-04,124,4153,213,30,46
2020-06-05,125,4019,180,24,42
2020-06-06,126,5452,164,19,36
2020-06-07,127,5486,167,19,58
2020-06-08,128,5273,173,18,41
2020-06-09,129,5341,153,15,42
2020-06-10,130,5342,173,29,37
2020-06-11,131,4202,167,12,41
2020-06-12,132,4153,164,17,50
2020-06-13,133,5623,163,18,30
2020-06-14,134,5676,172,21,46
2020-06-15,135,5576,136,15,36
2020-06-16,136,5534,153,13,46
2020-06-17,137,5533,159,15,36
2020-06-18,138,4294,134,14,40
2020-06-19,139,4230,164,27,41
2020-06-20,140,5754,143,16,39
2020-06-21,141,5442,188,25,43
2020-06-22,142,5483,143,10,40
2020-06-23,143,5575,162,17,35
2020-06-24,144,5588,157,18,32
2020-06-25,145,4392,152,25,34
2020-06-26,146,4336,153,13,45
2020-06-27,147,6027,158,20,38
2020-06-28,148,5804,154,22,43
2020-06-29,149,5815,160,6,47
2020-06-30,150,5570,158,11,46
2020-07-01,151,5640,143,20,34
2020-07-02,152,4528,160,20,45
2020-07-03,153,4420,146,19,43
2020-07-04,154,6759,164,11,29
2020-07-05,155,6411,174,23,44
2020-07-06,156,6400,185,18,40
2020-07-07,157,6572,174,23,29
2020-07-08,158,7179,157,27,35
2020-07-09,159,7772,165,19,54
2020-07-10,160,7846,171,13,40
2020-07-11,161,8264,176,26,37
2020-07-12,162,8598,181,16,26
2020-07-13,163,8979,201,21,40
2020-07-14,164,9571,198,25,43
2020-07-15,165,9826,208,22,34
2020-07-16,166,10909,246,33,61
2020-07-17,167,11309,248,30,43
2020-07-18,168,11588,264,31,52
2020-07-19,169,12092,294,25,47
2020-07-20,170,12656,302,35,44
2020-07-21,171,12806,345,40,47
2020-07-22,172,13514,330,29,51
2020-07-23,173,14894,395,38,53
2020-07-24,174,15530,363,44,70
2020-07-25,175,15888,416,39,82
2020-07-26,176,16270,494,44,72
2020-07-27,177,16751,452,44,105
2020-07-28,178,17518,513,68,86
2020-07-29,179,18786,554,57,108
2020-07-30,180,20781,552,74,94
2020-07-31,181,21491,289,30,69
