date,day,infections,hospital_admissions,icu_admissions,deaths
2020-02-01,0,0,0,0,0
2020-02-02,1,0,0,0,0
2020-02-03,2,0,0,0,0
2020-02-04,3,0,0,0,0
2020-02-05,4,0,0,0,0
2020-02-06,5,0,0,0,0
2020-02-07,6,0,0,0,0
2020-02-08,7,50,0,0,0
2020-02-09,8,49,0,0,0
2020-02-10,9,5,0,0,0
2020-02-11,10,8,0,0,0
2020-02-12,11,19,0,0,0
2020-02-13,12,117,0,0,0
2020-02-14,13,78,0,0,0
2020-02-15,14,28,0,0,0
2020-02-16,15,134,0,0,0
2020-02-17,16,159,0,0,0
2020-02-18,17,79,0,0,0
2020-02-19,18,81,0,0,0
2020-02-20,19,152,0,0,0
2020-02-21,20,165,0,0,0
2020-02-22,21,136,0,0,0
2020-02-23,22,131,0,0,0
2020-02-24,23,161,0,0,0
2020-02-25,24,186,1,0,0
2020-02-26,25,180,1,0,0
2020-02-27,26,155,0,0,0
2020-02-28,27,173,0,0,0
2020-02-29,28,213,1,0,0
2020-03-01,29,225,0,0,0
2020-03-02,30,235,3,0,0
2020-03-03,31,229,2,1,0
2020-03-04,32,264,2,0,0
2020-03-05,33,227,3,0,0
2020-03-06,34,231,2,0,1
2020-03-07,35,305,2,2,0
2020-03-08,36,324,1,0,1
2020-03-09,37,355,3,0,0
2020-03-10,38,372,1,0,0
2020-03-11,39,352,3,0,0
2020-03-12,40,341,4,0,0
2020-03-13,41,355,4,1,1
2020-03-14,42,397,3,0,1
2020-03-15,43,422,3,1,0
2020-03-16,44,429,3,1,0
2020-03-17,45,423,4,1,1
2020-03-18,46,451,3,0,2
2020-03-19,47,420,3,0,0
2020-03-20,48,387,3,1,0
2020-03-21,49,395,4,0,0
2020-03-22,50,370,8,1,0
2020-03-23,51,375,8,1,2
2020-03-24,52,388,5,0,1
2020-03-25,53,385,9,2,1
2020-03-26,54,408,7,0,1
2020-03-27,55,339,1,0,4
2020-03-28,56,335,6,0,0
2020-03-29,57,330,4,0,0
2020-03-30,58,339,6,1,0
2020-03-31,59,346,6,2,3
2020-04-01,60,351,4,0,2
2020-04-02,61,343,0,0,0
2020-04-03,62,365,2,1,1
2020-04-04,63,338,2,0,0
2020-04-05,64,329,3,1,1
2020-04-06,65,350,3,0,1
2020-04-07,66,345,3,0,0
2020-04-08,67,368,4,0,1
2020-04-09,68,380,5,0,0
2020-04-10,69,402,4,1,0
2020-04-11,70,313,5,0,2
2020-04-12,71,338,3,1,0
2020-04-13,72,347,1,0,0
2020-04-14,73,329,3,0,0
2020-04-15,74,316,4,1,1
2020-04-16,75,343,2,1,1
2020-04-17,76,341,6,1,1
2020-04-18,77,343,4,1,0
2020-04-19,78,318,3,0,1
2020-04-20,79,354,2,0,1
2020-04-21,80,335,1,0,0
2020-04-22,81,311,4,0,1
2020-04-23,82,339,3,1,1
2020-04-24,83,350,7,0,0
2020-04-25,84,346,2,2,0
2020-04-26,85,328,2,0,1
2020-04-27,86,294,1,0,0
2020-04-28,87,328,1,0,0
2020-04-29,88,332,0,0,1
2020-04-30,89,327,2,0,0
2020-05-01,90,357,0,0,0
2020-05-02,91,371,1,0,0
2020-05-03,92,329,0,0,0
2020-05-04,93,317,1,0,0
2020-05-05,94,272,1,0,0
2020-05-06,95,289,2,0,0
2020-05-07,96,324,1,0,1
2020-05-08,97,285,1,0,0
2020-05-09,98,265,1,0,0
2020-05-10,99,291,5,1,0
2020-05-11,100,263,1,0,0
2020-05-12,101,274,1,0,0
2020-05-13,102,257,0,0,0
2020-05-14,103,300,0,0,0
2020-05-15,104,259,1,0,0
2020-05-16,105,243,1,0,0
2020-05-17,106,254,0,0,0
2020-05-18,107,229,0,0,0
2020-05-19,108,214,2,0,0
2020-05-20,109,231,2,0,0
2020-05-21,110,267,1,0,0
2020-05-22,111,213,2,0,1
2020-05-23,112,203,1,0,0
2020-05-24,113,198,1,0,0
2020-05-25,114,184,0,0,0
2020-05-26,115,188,1,0,0
2020-05-27,116,203,0,0,0
2020-05-28,117,219,1,0,0
2020-05-29,118,200,0,0,0
2020-05-30,119,179,1,0,1
2020-05-31,120,193,0,0,0
2020-06-01,121,151,0,0,0
2020-06-02,122,146,0,0,0
2020-06-03,123,178,0,0,0
2020-06-04,124,171,0,0,0
2020-06-05,125,170,1,0,1
2020-06-06,126,143,1,0,0
2020-06-07,127,125,1,0,0
2020-06-08,128,133,0,0,0
2020-06-09,129,124,2,1,0
2020-06-10,130,129,2,0,0
2020-06-11,131,135,1,0,0
2020-06-12,132,149,0,0,0
2020-06-13,133,121,0,0,0
2020-06-14,134,112,0,0,0
2020-06-15,135,90,0,0,0
2020-06-16,136,104,0,0,0
2020-06-17,137,110,4,0,0
2020-06-18,138,103,0,0,1
2020-06-19,139,105,1,0,0
2020-06-20,140,102,1,0,0
2020-06-21,141,103,2,1,0
2020-06-22,142,82,1,1,0
2020-06-23,143,85,0,0,0
2020-06-24,144,68,1,0,0
2020-06-25,145,95,0,0,0
2020-06-26,146,85,1,0,0
2020-06-27,147,91,1,0,0
2020-06-28,148,73,0,0,0
2020-06-29,149,72,2,0,0
2020-06-30,150,57,0,0,0
2020-07-01,151,64,0,0,1
2020-07-02,152,60,1,1,1
2020-07-03,153,58,1,0,0
2020-07-04,154,52,0,0,0
2020-07-05,155,61,0,0,0
2020-07-06,156,54,1,0,0
2020-07-07,157,54,2,1,1
2020-07-08,158,50,1,0,0
2020-07-09,159,65,1,0,0
2020-07-10,160,61,2,1,0
2020-07-11,161,38,0,0,1
2020-07-12,162,50,0,0,0
2020-07-13,163,28,0,0,0
2020-07-14,164,56,0,0,0
2020-07-15,165,42,0,0,0
2020-07-16,166,59,1,0,0
2020-07-17,167,51,2,0,0
2020-07-18,168,35,0,0,0
2020-07-19,169,39,2,0,0
2020-07-20,170,33,1,0,0
2020-07-21,171,33,1,0,0
2020-07-22,172,40,0,0,0
2020-07-23,173,43,0,0,0
2020-07-24,174,39,0,0,0
2020-07-25,175,36,1,0,0
2020-07-26,176,27,0,0,0
2020-07-27,177,43,0,0,1
2020-07-28,178,33,0,0,1
2020-07-29,179,41,0,0,0
2020-07-30,180,44,0,0,0
2020-07-31,181,53,0,0,0
